Totales Territoriales;Comunidades y Ciudades Autonomas;Ramas de actividad;periodo;Total
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2018;1.752.627
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2017;1.732.092
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2016;1.680.296
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2015;1.690.364
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2014;1.639.850
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2013;1.537.355
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2012;1.620.116
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2011;1.762.598
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2010;1.943.389
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2009;1.913.988
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2008;2.011.529
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2007;1.816.337
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2006;1.660.297
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2005;1.588.438
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2004;1.437.588
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2003;1.367.309
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2002;1.293.197
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2001;1.241.211
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2000;1.183.508
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (A);49.020.986
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021 (P);42.843.120
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;38.630.124
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;47.182.560
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;45.829.590
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;44.209.198
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;42.007.287
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;40.595.518
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;39.315.077
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;39.073.985
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;39.202.014
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;40.595.330
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;40.811.481
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;40.296.021
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;42.308.705
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;41.425.115
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;39.058.508
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;36.631.532
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2004;34.229.642
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2003;32.396.850
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2002;30.271.685
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2001;28.352.782
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2000;26.048.646
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2022 (A);3.347.373
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2021 (P);2.723.630
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2020;2.529.123
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2019;2.700.676
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2018;2.600.690
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2017;2.569.465
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2016;2.468.828
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2015;2.556.659
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2014;2.597.658
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2013;2.639.849
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2012;2.885.858
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2011;2.959.903
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2010;3.194.006
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2009;2.968.995
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2008;3.292.870
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2007;3.116.289
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2006;2.912.651
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2005;2.798.542
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2004;2.432.473
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2003;2.352.046
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2002;2.118.850
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2001;1.959.706
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2000;1.805.695
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (A);15.354.834
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021 (P);14.022.067
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.852.323
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.180.759
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;13.743.992
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;13.228.614
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;12.735.884
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;12.336.462
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;12.074.783
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;11.878.603
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;12.166.392
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;12.622.706
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;12.836.685
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;12.788.985
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;13.260.788
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;12.819.428
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;11.939.798
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;11.138.852
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2004;10.314.344
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2003;9.688.157
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2002;9.196.317
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2001;8.618.734
Total Nacional;06 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2000;7.968.169
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2022 (A);3.239.633
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2021 (P);2.834.352
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2020;2.479.943
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2019;2.671.327
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2018;2.616.881
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2017;2.565.467
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2016;2.357.859
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2015;2.285.367
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2014;2.337.138
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2013;2.191.109
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2012;2.393.053
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2011;2.492.797
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2010;2.482.091
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2009;2.403.030
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2008;2.613.163
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2007;2.501.837
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2006;2.304.399
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2005;2.183.395
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2004;2.025.530
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2003;1.922.093
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2002;1.865.544
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2001;1.768.453
Total Nacional;06 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2000;1.647.434
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (A);64.226.642
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021 (P);59.263.791
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;54.836.565
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;59.798.553
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;58.545.871
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;56.058.853
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;54.764.564
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;53.273.013
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;51.595.931
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;51.551.365
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;52.865.370
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;54.575.008
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;54.970.431
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;54.795.978
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;56.637.995
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;55.466.217
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;51.856.568
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;48.617.553
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2004;45.544.681
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2003;42.842.365
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2002;40.357.850
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2001;38.031.539
Total Nacional;07 Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2000;35.717.613
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2022 (A);12.617.261
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2021 (P);11.287.835
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2020;9.948.877
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2019;10.752.700
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2018;10.456.129
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2017;10.350.414
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2016;9.878.813
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2015;9.690.062
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2014;9.623.639
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2013;9.511.266
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2012;9.941.339
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2011;10.302.725
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2010;10.268.625
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2009;10.076.671
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2008;11.023.441
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2007;10.550.015
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2006;9.902.309
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2005;9.529.864
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2004;9.095.974
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2003;8.707.342
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2002;8.186.236
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2001;7.597.287
Total Nacional;07 Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2000;7.291.904
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (A);46.715.873
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021 (P);42.852.242
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;39.346.603
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;42.398.854
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;41.480.976
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;39.897.062
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;38.314.671
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;37.138.498
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;35.394.282
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;36.187.562
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;36.888.035
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;38.258.606
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;38.706.827
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;38.582.257
Total Nacional;08 Castilla - La Mancha;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;39.926.198
