Totales Territoriales;Comunidades y Ciudades Autonomas;Ramas de actividad;periodo;Total
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2005;15.497.877
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2004;14.172.003
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2003;13.399.447
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2002;12.488.793
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2001;11.635.341
Total Nacional;01 Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2000;10.889.256
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (A);41.762.830
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021 (P);38.159.471
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;35.521.579
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;38.049.621
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;36.867.512
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;35.640.507
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;34.210.384
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;32.896.878
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;32.322.648
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;32.111.169
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;31.961.110
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;33.368.344
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;33.828.995
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;33.564.425
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;35.141.063
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;33.853.480
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;31.098.276
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;28.663.286
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2004;26.638.692
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2003;24.975.186
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2002;23.368.239
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2001;21.577.543
Total Nacional;02 Aragón;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2000;20.071.592
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2022 (A);8.962.417
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2021 (P);7.652.556
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2020;6.951.050
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2019;7.429.647
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2018;7.203.284
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2017;6.822.340
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2016;6.442.750
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2015;6.469.388
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2014;6.492.954
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2013;6.238.568
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2012;6.105.379
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2011;6.621.299
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2010;6.753.851
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2009;6.485.051
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2008;7.443.694
