"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"INTPOL";"IMPIDEAS";"INESTADO1";"INESTADO2";"CONFIANZA_1";"CONFIANZA_2";"CONFIANZA_3";"CONFIANZA_4";"CONFIANZA_5";"CONFIANZA_6";"CONFIANZA_7";"CONFIANZA_RETR_1";"CONFIANZA_RETR_2";"CONFIANZA_RETR_3";"CONFIANZA_RETR_4";"CONFIANZA_RETR_5";"CONFIANZA_RETR_6";"CONFIANZA_RETR_7";"CONFIANZA_PROS_1";"CONFIANZA_PROS_2";"CONFIANZA_PROS_3";"CONFIANZA_PROS_4";"CONFIANZA_PROS_5";"CONFIANZA_PROS_6";"CONFIANZA_PROS_7";"INFLUPOL1";"INFLUPOL2";"FUTUR1";"FUTUR2";"INFLUPAISES_1";"INFLUPAISES_2";"INFLUPAISES_3";"INFLUPAISES_4";"INFLUPAISES_5";"INFLUPAISES_6";"INFLUPAISES_7";"SAT1";"SAT2";"DESIN_1";"DESIN_2";"DESIN_3";"DESIN_4";"DESIN_5";"DESIN_6";"DESIN_7";"DESIN_8";"SIMBOL1";"SIMBOL2";"PROBLMUN1";"PROBLMUN2";"PROBLMUN3";"IDEASPROS1_1";"IDEASPROS1_2";"IDEASPROS1_3";"IDEASPROS1_4";"IDEASPROS1_5";"IDEASPROS1_6";"IDEASPROS1_7";"IDEASPROS2_1";"IDEASPROS2_2";"IDEASPROS2_3";"IDEASPROS2_4";"IDEASPROS2_5";"IDEASPROS2_6";"IDEASPROS2_7";"IDEASPROS2_8";"IDEASPROS3_1";"IDEASPROS3_2";"IDEASPROS3_3";"IDEASPROS3_4";"IDEASPROS3_5";"IDEASPROS3_6";"IDEASPROS3_7";"IDEASPROS4_1";"IDEASPROS4_2";"IDEASPROS4_3";"IDEASPROS4_4";"IDEASPROS4_5";"IDEASPROS4_6";"IDEASPROS5_1";"IDEASPROS5_2";"IDEASPROS5_3";"IDEASPROS5_4";"IDENTIFIC1";"IDENTIFIC2";"ESCIDEOL";"PARTICIPACIONG";"RECUERDO";"ESCUELA";"NIVELESTENTREV";"RELIGION";"SITLAB";"RELALAB";"CNO11";"OPINION";"CLASESOCIAL";"CLASESUB";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"RECUVOTOGR";"RECUVOTOG";"ESTUDIOS";"CNO11R";"PESO"
3424;5632;278;9;8;0;3;4;0;2;2;38;1;2;1;2;2;4;7;6;5;5;7;6;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;5;4;2;2;1;1;1;2;2;2;2;1;1;2;2;2;3;3;4;3;23;8;31;7;99;2;1;1;3;3;1;1;2;1;2;1;3;3;2;1;3;1;3;2;3;3;1;1;2;1;3;1;1;1;3;3;3;6;7;2;1;21;3;9;6;1;1;4;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";24;10;23;2;20;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;21;21;6;4;0,94396
3424;68102;2931;9;8;0;3;4;0;2;1;65;1;5;1;2;1;3;4;1;1;5;5;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;8;97;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8;98;2;3;7;2;3;3;3;1;1;1;3;3;2;3;3;2;3;3;3;1;1;1;1;3;3;1;1;3;3;1;1;1;1;1;3;97;99;5;1;2;3;4;2;1;1;7;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;"";"";26;10;23;4;20;1;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;2;3;7;0,85662
3424;68518;2943;9;8;0;3;4;0;2;1;67;1;1;3;2;2;4;5;4;4;3;1;4;3;3;3;2;3;3;3;3;3;3;3;3;3;3;8;5;4;2;3;3;2;3;1;2;2;1;3;1;1;1;1;1;1;2;2;30;8;31;23;49;2;1;1;1;1;1;3;2;1;2;1;3;1;3;1;3;3;3;3;1;3;3;1;3;1;3;1;3;1;3;1;3;3;4;2;1;902;3;12;6;2;0;0;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;"";"";26;10;23;4;24;1;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;902;902;6;12;0,85662
3424;89897;3399;9;8;0;3;4;0;1;1;26;1;2;8;2;3;2;4;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;8;1;2;3;1;2;2;1;1;3;3;2;1;1;1;3;1;1;1;1;3;8;13;38;21;96;1;1;1;3;3;3;3;1;3;3;3;1;3;3;3;3;1;3;3;3;2;3;1;1;1;3;1;2;2;3;3;2;7;3;4;1;21;3;10;6;4;0;0;2;12;5;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;25;0;0;0;0;29;2;"";"";26;10;23;4;21;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;21;21;6;16;0,90183
3424;150106;3777;9;8;0;3;4;0;2;1;57;1;3;1;2;2;2;5;2;5;4;7;3;3;3;2;2;1;1;3;2;3;3;3;3;1;3;2;5;4;3;2;2;3;3;1;1;3;1;3;1;1;4;1;1;4;4;5;8;3;12;3;38;2;3;1;2;1;1;3;2;3;2;1;2;1;2;1;3;1;3;3;3;2;3;1;2;1;1;1;3;3;1;1;3;7;9;3;1;21;3;5;6;1;1;5;2;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;"";"";31;10;23;2;18;1;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;21;21;5;5;0,88482
3424;3137;157;9;8;0;3;2;0;2;1;73;1;1;1;2;2;5;4;5;5;7;2;1;3;3;3;3;3;3;3;1;3;3;1;3;3;3;6;7;1;2;2;2;3;3;1;1;3;1;2;1;1;1;2;1;2;2;2;8;5;31;12;4;2;3;3;3;1;1;1;2;3;2;1;2;1;3;1;3;3;3;3;1;3;1;2;3;1;3;1;2;2;3;1;3;3;6;4;1;902;3;11;6;2;0;0;1;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;"";"";24;10;23;2;19;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;902;902;6;12;1,00067
3424;12070;609;9;8;0;3;3;0;2;2;65;1;3;1;2;2;6;2;5;5;1;5;2;3;3;1;3;3;3;3;8;8;8;8;8;8;8;2;1;1;5;3;2;3;2;1;1;3;2;3;2;2;2;2;2;4;2;4;98;99;21;98;99;3;3;3;1;3;1;3;2;1;2;1;2;3;2;3;3;1;3;3;3;2;2;3;3;1;3;1;3;3;3;1;3;96;99;1;1;21;3;11;4;4;0;0;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";24;10;23;2;18;2;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;21;21;6;16;0,98349
3424;41139;1862;9;8;0;3;3;0;2;2;60;2;1;3;1;0;3;5;1;6;2;9;10;1;3;3;3;3;3;3;2;9;2;2;2;2;3;12;11;4;6;1;3;3;2;1;2;3;1;96;1;1;1;1;2;1;1;1;8;23;23;4;25;2;3;1;3;1;1;1;3;1;2;1;1;1;3;1;2;2;2;2;1;9;1;2;2;1;1;1;2;3;3;1;3;4;12;7;1;2;3;12;6;1;3;2;3;96;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;6;0;"";"";26;10;23;4;33;2;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;2;6;2;0,93528
3424;58990;2650;9;8;0;3;3;0;1;1;63;1;1;1;2;2;1;4;1;4;4;6;6;3;3;3;3;3;3;3;2;2;2;2;2;3;3;6;5;1;4;3;3;1;1;1;1;3;2;1;2;3;2;1;2;2;2;2;8;23;2;3;17;2;1;1;1;1;3;3;2;1;2;1;2;3;3;3;1;1;1;1;1;3;2;1;2;1;1;3;1;1;1;1;3;97;99;3;1;1;3;11;5;1;1;3;3;99;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;0;0;0;0;9;0;"";"";25;10;23;3;21;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;1;1;6;3;0,92208
3424;128720;3693;9;8;0;3;3;0;2;2;62;2;2;1;3;2;1;1;1;1;1;7;6;3;3;3;3;3;3;1;2;2;2;2;2;1;3;11;2;2;4;3;1;3;1;1;1;3;1;1;1;1;4;1;1;1;4;4;8;5;7;1;2;2;1;2;3;1;3;2;2;1;2;1;2;3;2;1;1;1;3;3;1;2;2;1;2;1;1;2;1;1;1;1;2;12;99;3;2;9997;3;11;4;1;1;1;2;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;"";"";27;10;23;5;25;3;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;0;0;6;1;0,93528
